,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2020-05-26 07:29:59,7.1248120612e-07,8.32169865208e-09,4.22748295593e-09,4.64889644017e-09
2020-05-26 07:44:59,7.22997721819e-07,7.12974643879e-09,3.04659963112e-09,3.37861673973e-09
2020-05-26 07:59:59,7.16584934661e-07,6.96889859554e-09,2.81204211578e-09,3.12565884438e-09
2020-05-26 08:14:59,7.2261952639e-07,6.8154813096e-09,2.59429498971e-09,2.85008880269e-09
2020-05-26 08:29:59,6.99231518819e-07,6.7202334097e-09,2.47141545593e-09,2.6931431547e-09
2020-05-26 08:44:59,7.16109183389e-07,6.70820369111e-09,2.40165946394e-09,2.62048219056e-09
2020-05-26 08:59:59,6.85689699213e-07,6.60084876635e-09,2.24741607773e-09,2.46245456291e-09
2020-05-26 09:14:59,6.70705183863e-07,6.34942091923e-09,2.24122144069e-09,2.43443522848e-09
2020-05-26 09:29:59,6.81004930835e-07,6.25567678706e-09,1.99468220322e-09,2.1875063025e-09
2020-05-26 09:44:59,6.631350789e-07,6.29956989144e-09,2.01198545977e-09,2.22247454465e-09
2020-05-26 09:59:59,6.80104542313e-07,6.35397993993e-09,2.1852098258e-09,2.42515450096e-09
2020-05-26 10:14:59,6.85538258452e-07,6.30935405665e-09,1.9799450027e-09,2.14462228419e-09
2020-05-26 10:29:59,6.62180953814e-07,6.04696202997e-09,1.93460772105e-09,2.0915556053e-09
2020-05-26 10:44:59,6.4418589097e-07,5.95517976006e-09,2.02481992347e-09,2.1890995034e-09
2020-05-26 10:59:59,6.50875866039e-07,6.02318386371e-09,2.12340989507e-09,2.26947141064e-09
2020-05-26 11:14:59,6.53749107186e-07,6.11063559779e-09,2.22042669776e-09,2.37723301869e-09
2020-05-26 11:29:59,6.31832406573e-07,6.01632376773e-09,2.30036358876e-09,2.46717522656e-09
2020-05-26 11:44:59,6.37176074022e-07,5.82951062883e-09,2.03773079547e-09,2.16160649495e-09
2020-05-26 11:59:59,6.37074761643e-07,5.87996089531e-09,2.03791918655e-09,2.15358399591e-09
2020-05-26 12:14:59,6.12749000615e-07,5.91186192043e-09,2.14110345788e-09,2.32199699045e-09
2020-05-26 12:29:59,5.95515335046e-07,5.75974051471e-09,1.9699320951e-09,2.09384983557e-09
2020-05-26 12:44:59,6.16686190205e-07,5.67574651921e-09,1.90488660799e-09,2.06494312675e-09
2020-05-26 12:59:59,5.8918126817e-07,5.62795505209e-09,1.80239275056e-09,1.95145866781e-09
2020-05-26 13:14:59,5.82201663213e-07,5.59887160115e-09,1.64605789001e-09,1.73881561202e-09
2020-05-26 13:29:59,5.55696315349e-07,5.69932146331e-09,1.64505819271e-09,1.72498974474e-09
2020-05-26 13:44:59,5.61505604587e-07,5.97383011005e-09,1.58559893409e-09,1.66830481808e-09
2020-05-26 13:59:59,5.83914652947e-07,5.91038560991e-09,1.62627098883e-09,1.70198061591e-09
2020-05-26 14:14:59,6.04857474351e-07,5.77954530715e-09,1.52670814927e-09,1.59759041019e-09
2020-05-26 14:29:59,5.84707069687e-07,5.92839897253e-09,1.49396768859e-09,1.57653056064e-09
2020-05-26 14:44:59,5.33007043177e-07,6.0247372315e-09,1.87902735928e-09,1.98055227886e-09
2020-05-26 14:59:59,5.5261981033e-07,6.01357437083e-09,1.84514313397e-09,1.94765085329e-09
2020-05-26 15:14:59,5.72147588645e-07,5.91676135627e-09,1.54950574156e-09,1.632384359e-09
2020-05-26 15:29:59,5.68615606312e-07,5.74312087258e-09,1.58720123989e-09,1.67333149774e-09
2020-05-26 15:44:59,5.60714425251e-07,5.67085480992e-09,1.68980225431e-09,1.82434774014e-09
2020-05-26 15:59:59,5.51042825064e-07,5.59307364583e-09,1.54578358979e-09,1.64240664653e-09
2020-05-26 16:14:59,5.4314012003e-07,5.45895708123e-09,1.38612977878e-09,1.45083984235e-09
2020-05-26 16:29:59,5.68240552332e-07,5.38573331014e-09,1.49653262016e-09,1.57489335954e-09
2020-05-26 16:44:59,5.39740070525e-07,5.36924104146e-09,1.45576624957e-09,1.55129727332e-09
2020-05-26 16:59:59,5.16060975737e-07,5.40109301702e-09,1.35190399239e-09,1.44529544682e-09
2020-05-26 17:14:59,5.19404069202e-07,5.30641125004e-09,1.42627003898e-09,1.51763364219e-09
2020-05-26 17:29:59,5.21911733689e-07,5.20907755051e-09,1.60444704062e-09,1.74218568995e-09
2020-05-26 17:44:59,5.01435694416e-07,1.08881704833e-08,4.47794826822e-09,4.64490544116e-09
2020-05-26 17:59:59,4.79640209021e-07,1.0978326632e-08,4.49500176273e-09,4.65726177422e-09
2020-05-26 18:14:59,5.13922097945e-07,9.85432249817e-09,4.20855776284e-09,4.35948439945e-09
2020-05-26 18:29:59,5.17816883255e-07,5.41397840288e-09,2.22897729308e-09,2.43073699953e-09
